"1","2018-02-05 00:00:00","21","19.5","Tres hamburguesas de pollo","1"
"2","2018-02-13 00:00:00","21","9.9","Dos raciones de arroz al horno","2"
"3","2018-04-09 22:00:00","21","19.5","Hamburguesa de pollo","3"
"4","2018-04-15 19:43:00","21","32.5","Hamburguesa de pollo","4"
"5","2018-04-15 19:45:00","21","19.5","Ã‘oquis con tomate","5"
"6","2018-04-15 19:47:00","21","17.9","Ensalada cesar","6"
"7","2018-04-15 19:50:00","21","6.95","Ensalada mediterranea","7"
"8","2018-04-15 19:51:00","21","23","Bacalao al pilpil","8"
"9","2018-04-15 19:56:00","21","6.95","Ensalada mediterranea","9"
"10","2018-04-15 20:05:00","21","4.95","Arroz al horno","10"
"11","2018-04-29 17:40:00","21","11.5","Bacalao al pilpil","11"
"12","2018-04-29 17:51:00","21","6.95","Ensalada mediterranea","12"
"13","2018-04-29 17:55:00","21","13","Hamburguesa de pollo","13"
"14","2018-04-29 18:03:00","21","32.849999999999994","Filete de ternera","14"
"15","2018-04-29 18:25:00","21","6.5","Hamburguesa de pollo","15"
